	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
KRT24306	5	0	0	5	5	2	0	2	4	2	1	1	4	2	1	10	5	0	0	5
HLA39861	4	2	15	6	5	12	24	19	12	1	2	10	15	21	20	7	6	3	15	8
IL15541	8	3	17	7	1	19	4	6	10	1	9	1	8	13	22	17	5	4	2	5
ZNF26752	43	28	7	97	30	23	50	7	89	16	45	18	15	47	22	40	14	12	5	38
CXCL52182	49	31	77	15	7	48	46	3	40	144	20	61	35	6	23	19	47	49	23	31
GPR78456	4	2	10	6	6	6	16	11	0	6	13	14	3	4	0	3	2	3	6	4
GPR65338	6	64	26	35	28	15	21	26	44	13	55	31	41	19	9	9	4	25	33	18
TP64367	51	50	302	21	169	160	233	206	160	97	132	60	50	134	300	73	146	198	238	209
ZNF60613	9	12	8	3	19	6	8	8	1	8	23	11	7	27	16	7	26	4	3	2
CD30420	4	4	4	2	0	6	4	2	2	5	7	7	3	0	4	2	5	3	4	4
SLC2211	0	5	4	2	1	1	4	1	4	1	11	4	11	2	5	7	3	7	2	0
KRT96294	21	4	13	12	14	5	46	14	3	22	7	16	20	35	11	5	1	21	9	5
KRT34246	3	2	0	4	2	1	7	1	0	1	2	4	1	2	5	2	8	6	1	2
BRCA51959	14	10	9	10	14	9	7	5	7	3	3	12	27	9	9	4	3	8	15	36
CXCL24362	14	16	12	17	2	12	17	24	15	20	2	10	16	15	5	16	8	38	9	4
ZNF8815	43	72	41	27	30	38	33	18	64	56	47	63	16	110	14	46	55	78	40	30
BRCA31137	27	21	25	18	7	87	31	27	29	27	12	2	31	25	16	44	8	42	83	54
IL86350	13	51	16	20	25	10	36	29	8	16	91	30	45	59	12	23	41	12	47	41
MAPK74014	4	10	15	5	7	6	7	3	12	7	9	3	5	14	0	14	13	6	1	15
MYC47027	9	38	34	19	15	3	30	72	14	7	16	14	9	36	12	32	22	28	30	28
MT45447	1	9	7	6	2	1	3	5	7	11	12	2	3	1	3	16	1	16	2	11
MYC18653	2	3	7	6	16	19	9	14	23	2	14	22	17	6	11	2	16	36	43	10
IL65174	10	17	33	19	20	7	1	1	16	48	11	7	34	38	2	19	42	20	9	23
CD15342	7	0	13	3	9	1	7	6	4	19	1	7	2	7	9	3	20	5	2	5
SLC17800	48	68	50	63	84	32	23	48	40	34	67	39	45	61	103	88	62	55	28	35
SLC52773	27	25	31	18	32	28	23	15	60	62	60	9	14	30	42	27	9	20	56	30
BRCA65523	10	19	28	35	55	13	30	14	25	25	19	11	25	61	55	83	42	38	37	15
CD175	5	0	5	5	7	1	9	1	8	8	3	6	5	5	4	13	1	8	14	4
CD23381	32	75	66	33	70	84	6	8	26	68	17	77	27	25	54	73	58	46	32	37
IL10477	13	10	32	7	13	29	10	12	23	8	18	21	15	21	50	14	1	9	15	34
MAPK74128	11	4	3	0	10	3	15	12	5	5	2	11	5	4	14	11	8	4	4	21
ZNF17869	92	49	33	12	20	27	55	100	37	57	36	11	18	40	31	19	51	15	19	54
IL13290	21	22	31	9	11	10	6	8	4	1	5	7	2	10	16	17	5	8	5	4
GPR2285	0	3	5	3	1	2	0	0	9	2	0	8	5	7	6	6	4	6	2	6
HLA79469	35	2	23	7	9	17	14	11	23	18	25	81	16	26	13	52	51	40	3	6
SLC36831	24	11	26	31	28	13	18	27	15	11	34	8	10	33	20	20	25	24	27	15
IL70813	18	2	3	6	17	2	5	10	3	3	6	4	1	11	8	9	4	3	3	5
ZNF95610	4	2	2	1	7	2	4	14	3	5	0	4	11	8	5	12	3	1	7	10
IL68464	9	4	6	1	6	12	1	11	8	4	3	6	8	3	0	5	2	3	3	0
EGFR43804	18	7	69	41	31	30	43	35	26	45	71	41	36	11	38	32	13	6	21	2
SLC89019	3	9	8	4	4	4	2	9	1	7	6	16	4	2	2	3	2	2	12	8
MAPK93027	2	1	0	2	9	4	3	4	12	12	15	11	6	3	5	16	12	6	10	6
IL14438	14	69	53	78	29	75	50	51	138	9	19	15	65	115	56	28	89	99	147	58
SLC67475	5	5	4	4	5	0	1	5	19	15	8	1	7	5	7	6	12	3	3	4
SLC81637	18	32	18	18	12	6	8	22	49	34	15	35	12	3	11	3	5	13	24	67
SLC17973	33	104	14	16	25	26	13	31	48	60	22	22	37	29	52	34	7	29	61	94
TNF96449	26	31	4	21	24	19	88	41	35	102	42	53	42	32	30	48	33	12	9	30
GPR31791	4	1	16	20	1	13	3	10	20	25	2	27	15	22	17	1	2	31	21	12
BRCA36122	8	10	0	9	2	11	1	17	6	5	7	18	24	22	15	18	5	10	5	1
CXCL14624	17	69	19	24	48	31	31	31	17	16	23	23	63	12	22	26	39	12	11	12
CXCL84682	23	26	17	0	10	9	9	8	8	14	7	8	8	7	5	4	2	9	2	5
IL46035	4	0	3	10	6	11	6	4	0	2	6	0	11	0	7	1	0	4	0	1
TNF83356	5	2	3	4	13	20	0	6	6	8	12	7	23	2	3	11	1	7	11	3
HLA82143	11	18	26	3	10	4	3	10	3	18	3	12	1	5	16	14	9	9	0	7
EGFR17586	8	9	12	18	8	18	2	21	1	29	24	15	11	6	19	17	18	3	13	4
TNF21038	17	19	9	19	1	24	21	8	11	8	18	11	2	34	5	26	15	24	31	15
EGFR6484	39	21	31	42	78	39	37	18	75	5	35	35	106	3	101	40	32	48	44	78
TNF53047	0	5	8	7	4	8	1	5	13	5	20	1	2	3	3	0	5	8	3	4
EGFR43846	16	15	40	35	14	31	26	17	15	16	3	18	10	7	2	23	20	18	29	2
SLC88322	279	80	40	130	37	119	96	28	84	164	152	26	103	105	25	42	11	31	31	60
ZNF98148	8	3	3	7	16	5	16	2	6	4	14	13	13	2	15	4	1	15	23	8
MAPK66841	5	11	6	7	1	8	6	5	10	10	0	10	5	12	0	5	14	15	3	7
CD22345	4	15	13	18	8	19	11	1	11	6	9	7	0	23	10	18	8	14	2	7
TP15845	2	3	2	3	1	3	4	3	4	9	10	3	1	3	2	0	2	3	3	3
BRCA53016	11	9	29	1	7	7	5	7	4	2	5	17	5	17	23	3	10	8	12	18
GPR63021	3	1	0	4	11	2	4	7	0	7	8	1	2	1	1	3	2	2	6	4
MT52591	5	4	0	6	7	2	14	4	7	13	4	4	10	4	9	1	1	5	2	5
ZNF82810	13	36	10	49	12	47	17	30	61	40	36	19	26	21	108	35	49	25	29	26
EGFR29117	6	3	7	0	15	1	9	6	3	10	1	1	3	8	7	15	9	5	7	23
TP12236	22	21	2	7	14	12	16	0	33	7	14	31	5	0	20	1	1	6	2	18
IL59318	6	20	20	23	22	17	8	25	6	10	24	28	9	41	12	18	22	31	21	8
SLC45174	4	17	6	25	4	6	32	8	17	6	1	2	17	0	2	8	10	1	1	2
SLC88851	4	4	11	5	8	13	7	8	9	7	18	12	5	18	4	9	4	2	12	18
TP67962	0	8	6	9	7	5	7	6	1	3	9	4	8	0	6	17	2	9	5	3
IL58105	4	5	11	3	0	3	15	4	3	11	2	2	2	9	9	4	14	8	7	4
EGFR15658	5	2	0	6	2	6	3	8	1	1	0	3	3	4	2	6	7	1	10	4
ZNF68408	30	41	6	6	9	27	39	3	27	10	47	45	13	17	9	17	5	28	12	13
MYC42616	4	45	48	46	13	78	19	9	36	9	8	58	103	8	8	34	24	21	19	43
MYC878	1	0	0	0	0	0	2	2	3	5	3	0	6	2	2	2	5	3	4	6
CD11154	2	2	0	2	1	0	0	1	0	1	4	3	1	4	0	2	1	1	1	1
GPR73196	51	32	43	55	41	41	60	42	47	77	110	23	123	64	75	60	61	81	63	53
SLC84847	6	3	2	10	6	5	2	4	1	7	1	8	1	3	3	7	7	1	2	4
SLC65263	42	35	17	73	170	43	37	24	30	12	38	9	14	65	14	21	19	12	43	22
CXCL9305	6	13	16	23	6	28	4	12	20	4	16	19	28	6	18	12	8	4	6	12
SLC4915	21	13	46	45	48	29	53	28	32	36	23	8	32	10	10	51	16	36	45	48
GPR76370	12	13	10	1	13	2	12	7	2	15	4	14	4	3	9	7	4	9	10	19
MT76895	9	13	4	7	3	9	3	6	6	20	4	1	1	15	1	3	24	4	8	5
ZNF29945	77	48	4	125	46	106	90	78	57	40	54	61	65	46	13	129	91	26	75	46
MYC60275	17	13	9	9	21	25	10	10	13	12	6	31	38	17	17	3	1	5	12	5
SLC71172	12	15	14	8	31	5	17	3	12	9	16	33	20	21	10	19	18	5	4	25
MYC49309	2	14	44	30	38	18	64	18	6	26	62	43	5	98	104	113	14	28	9	5
MT36156	7	17	3	10	8	13	13	5	4	3	5	14	6	11	18	13	2	1	3	2
MT66440	1	2	3	1	0	1	0	7	2	3	5	6	3	1	4	3	1	1	25	2
KRT25333	44	27	46	39	9	25	24	55	34	42	50	43	30	18	37	8	43	36	7	11
GPR4617	18	9	1	19	8	1	9	4	9	7	6	15	8	8	1	0	8	1	3	2
IL63424	28	17	24	15	31	27	23	4	4	16	28	34	23	50	13	27	12	17	22	15
MAPK14220	84	58	43	79	40	118	60	46	65	11	57	38	43	18	63	47	102	139	87	23
TNF63682	4	8	2	0	3	2	18	10	3	8	4	9	5	2	4	0	0	2	5	6
SLC87900	30	76	30	30	40	33	33	37	58	25	24	12	36	28	17	25	72	47	12	19
EGFR25068	11	7	9	15	9	11	5	6	19	22	11	17	4	47	8	12	6	13	7	11
TP82224	7	25	19	24	14	37	28	13	42	27	26	40	38	38	45	18	37	17	31	49
MAPK30141	2	3	1	2	0	5	2	1	3	0	2	1	2	5	3	1	0	2	1	0
CXCL10142	10	17	16	23	8	7	5	15	19	23	18	10	13	4	3	25	27	10	11	17
IL93771	24	18	15	53	22	9	12	46	45	18	86	1	11	34	13	9	4	15	22	36
MAPK87342	4	20	19	4	13	7	9	7	10	2	12	10	3	10	4	15	9	2	4	17
TP53395	1	15	12	8	7	5	10	4	7	5	3	9	8	25	15	7	0	5	12	10
TNF45530	5	3	3	7	10	6	2	1	2	7	8	4	1	3	2	1	2	1	7	12
ZNF55027	2	3	0	1	1	6	2	1	1	1	3	8	0	1	2	2	3	5	8	2
TNF2968	41	25	53	26	11	33	9	30	35	74	21	5	4	31	12	22	62	36	33	50
MAPK31719	10	2	5	7	4	14	2	4	3	3	16	6	3	8	4	8	10	5	7	4
MAPK74074	7	55	25	21	30	18	21	28	44	26	2	9	14	6	17	14	5	14	14	2
BRCA96223	10	7	5	11	5	11	4	4	5	3	9	6	21	11	5	8	13	9	1	3
MT18021	83	85	52	51	79	89	21	147	8	91	51	63	111	40	133	66	27	21	11	37
MYC13257	8	4	3	19	8	11	15	8	10	3	12	8	0	4	7	11	11	4	3	1
SLC29666	0	0	1	1	2	0	3	5	3	2	0	0	2	0	0	2	0	1	0	1
KRT27268	14	17	10	8	9	7	9	12	14	12	10	13	10	15	18	28	4	8	18	30
KRT73945	5	4	0	3	4	8	5	17	9	5	2	3	3	14	9	8	11	3	3	5
TNF79078	1	5	13	13	8	15	18	3	2	24	9	10	11	6	12	9	1	1	13	16
MAPK64229	5	7	13	12	0	7	10	8	2	5	13	13	4	1	4	7	12	4	13	12
MAPK99324	3	2	1	10	2	5	0	5	5	4	13	4	5	5	8	3	8	3	10	4
TP36679	2	6	2	10	1	2	6	6	13	5	15	7	12	6	11	0	4	5	17	7
MYC41471	93	27	49	10	6	85	21	27	18	27	86	32	33	20	41	13	17	14	20	7
HLA91657	8	5	16	4	9	1	2	3	18	2	17	6	9	2	4	10	3	1	5	8
CXCL27800	21	11	49	18	39	29	5	7	2	22	14	19	16	55	46	31	31	26	35	8
TP31069	51	36	79	19	16	14	24	30	77	37	19	40	26	10	25	42	67	5	15	29
HLA13073	6	4	2	4	16	4	8	1	2	4	5	3	4	8	1	5	9	7	6	4
GPR52222	2	0	2	1	1	0	2	3	0	1	1	0	1	2	1	1	0	0	1	2
TP92387	13	6	1	8	9	15	8	11	9	6	10	35	7	12	13	5	22	15	4	4
MT76282	87	30	24	12	8	18	34	1	27	22	10	8	11	12	19	11	5	24	21	11
MAPK77172	32	30	16	34	18	64	30	7	21	30	15	11	10	36	24	20	43	22	7	40
CD16640	16	33	3	18	40	22	6	41	28	12	19	31	40	14	13	3	11	1	19	9
BRCA62422	82	33	62	7	15	20	12	45	117	96	10	33	56	5	4	24	26	59	166	24
BRCA76375	50	146	33	39	12	58	53	63	23	116	73	95	75	35	12	44	76	46	82	29
EGFR94189	23	19	22	44	29	9	18	24	33	9	24	22	27	22	27	18	9	9	10	27
MYC33049	8	13	8	26	17	21	14	11	6	11	31	8	56	2	17	6	7	8	7	13
KRT96388	5	19	24	18	13	11	29	5	13	9	13	18	18	21	7	26	6	13	48	35
ZNF25312	13	35	69	29	32	47	58	10	36	7	112	47	27	68	32	70	6	17	76	85
EGFR23827	49	14	19	12	5	9	20	8	41	5	13	6	38	6	22	27	7	19	42	6
IL77062	34	28	19	34	28	62	22	14	25	7	25	43	22	16	62	8	2	5	60	56
MT34859	17	7	6	7	4	2	4	7	2	11	9	24	3	4	3	18	7	20	12	7
TP97611	4	18	14	18	23	11	27	13	8	0	9	10	7	5	22	14	37	38	23	26
EGFR73778	0	0	0	2	3	1	1	0	0	0	0	0	2	1	1	0	2	1	3	0
BRCA90965	1	0	2	1	1	1	1	5	1	1	0	0	6	0	0	3	0	2	0	0
IL51068	2	20	0	13	15	11	8	35	8	17	12	8	22	7	19	8	20	18	7	4
GPR66399	8	1	5	7	8	7	5	11	6	10	2	13	11	2	2	10	3	8	4	8
MT2085	39	5	38	27	14	20	32	1	11	25	39	21	8	11	1	18	17	9	10	42
MT75248	6	27	2	6	16	4	19	6	11	20	6	7	1	3	8	15	8	2	12	7
SLC90826	22	11	15	17	19	38	50	14	27	18	7	15	21	6	24	96	35	36	61	16
SLC78633	6	11	3	10	7	2	3	0	2	15	2	7	6	2	4	3	24	4	0	5
TNF85243	8	59	96	149	77	127	29	65	110	25	44	25	16	37	67	66	63	38	20	78
MYC53625	29	12	49	37	15	5	49	25	27	12	58	46	80	26	42	28	113	65	8	27
TNF75888	7	24	15	42	7	10	10	21	20	16	18	2	2	23	19	1	19	23	21	15
BRCA53002	2	8	7	26	8	11	5	15	3	26	34	18	11	2	16	45	14	9	7	5
MT39364	2	3	8	4	8	15	11	7	6	8	1	4	4	4	10	1	2	11	5	6
EGFR2010	8	21	21	24	8	6	10	43	15	25	20	53	26	34	21	50	35	24	13	14
TNF41677	8	10	8	1	9	16	5	0	7	2	0	3	23	10	5	3	6	5	5	5
EGFR54529	10	27	31	17	8	12	5	10	39	1	33	22	11	14	14	4	8	6	5	2
MAPK80330	20	31	37	19	11	38	45	24	31	7	89	60	11	22	12	12	27	15	80	3
TNF99127	0	3	1	3	1	3	2	1	8	6	2	5	0	1	5	4	1	5	1	0
CXCL1581	13	11	10	23	11	3	27	6	8	8	1	22	13	19	6	10	20	10	11	17
MT73339	16	15	12	16	8	2	35	25	5	4	15	9	4	5	13	51	15	2	4	3
TNF45814	48	35	2	19	12	15	22	6	72	30	17	58	24	31	22	12	8	7	64	17
MT65106	38	20	22	15	14	39	67	29	30	60	18	16	41	16	21	15	79	64	20	50
MYC77531	16	38	36	20	17	13	27	6	32	19	37	8	19	16	8	28	29	9	7	21
MT22929	13	19	31	3	18	30	12	21	7	7	4	21	5	6	3	14	11	9	10	5
MAPK95705	33	18	5	16	3	7	8	7	1	23	11	6	12	10	26	18	8	21	9	8
TP36583	73	125	20	38	48	22	32	19	24	16	15	54	9	45	35	52	14	84	43	17
IL23174	8	11	19	21	32	16	19	19	9	12	12	1	5	5	7	5	15	18	7	24
ZNF29949	15	14	9	37	14	22	36	8	12	13	21	15	40	56	3	52	15	25	25	14
EGFR99522	10	0	3	0	5	3	4	5	6	5	1	8	6	10	8	2	5	12	1	8
BRCA4232	19	19	6	23	16	2	31	4	23	9	11	15	24	11	6	30	15	7	16	14
BRCA70033	48	30	40	44	125	10	78	24	22	24	76	57	30	12	41	46	149	33	53	101
CXCL31236	24	14	13	6	23	14	0	35	6	20	15	14	16	2	2	21	13	10	17	12
CXCL2261	38	12	13	5	9	23	20	7	21	27	8	14	28	7	37	27	13	6	8	3
IL25277	16	9	8	16	1	9	10	1	15	2	4	5	0	9	10	13	9	7	22	2
BRCA70933	144	141	101	91	62	285	41	95	56	61	70	153	111	147	96	36	113	44	51	175
ZNF47999	1	9	2	19	8	1	1	4	0	3	1	2	4	1	0	0	0	3	3	5
HLA88014	17	54	14	43	33	8	92	36	90	13	44	56	46	31	115	19	58	28	14	15
IL44570	4	3	6	7	0	8	8	10	4	1	2	9	3	9	11	0	17	4	3	5
BRCA72687	0	1	0	0	1	3	0	0	1	3	1	1	0	3	4	2	1	2	3	1
MYC75924	19	12	8	46	39	32	33	23	37	15	14	17	26	8	15	32	53	61	0	19
SLC79748	13	323	103	60	122	96	26	169	205	83	99	13	19	108	408	234	79	57	92	168
MYC24634	25	42	18	42	6	35	12	11	10	12	29	11	3	43	14	41	22	27	15	40
KRT92062	1	4	0	1	0	4	5	1	3	4	2	0	1	1	4	3	1	3	1	6
TP17022	17	15	8	5	10	5	17	32	12	18	14	11	9	15	18	2	7	50	35	24
TP38127	4	13	9	9	0	13	6	2	9	15	21	9	9	10	21	6	6	7	5	13
CD32267	46	4	86	58	58	76	6	17	49	13	35	26	27	12	12	16	21	48	12	19
KRT34087	4	5	10	2	5	7	10	2	7	10	4	11	3	14	0	5	12	0	0	2
EGFR69926	2	7	7	2	3	6	1	4	9	14	2	11	14	4	9	14	5	3	5	9
CXCL21633	3	0	1	2	1	0	1	3	5	0	0	0	2	2	0	2	1	0	4	1
EGFR26497	1	1	2	2	1	0	0	0	0	1	0	0	3	1	0	1	0	0	1	0
MT58578	81	48	98	11	96	5	98	30	64	112	81	38	43	76	139	26	27	64	139	72
TNF32237	4	3	0	1	2	2	3	3	3	7	3	1	12	3	9	3	10	2	12	6
CD17810	12	22	8	4	18	7	3	18	30	10	9	9	27	2	3	2	0	18	1	12
ZNF65201	5	10	12	7	10	14	5	13	14	23	6	2	18	14	7	12	19	3	25	9
EGFR63734	4	4	10	4	7	5	8	8	7	6	3	6	2	16	14	4	6	6	13	1
CXCL19888	17	2	12	15	20	4	0	4	3	15	6	8	3	2	7	9	3	6	7	11
MYC1493	17	18	11	19	25	20	41	3	37	5	5	14	1	26	19	13	14	7	14	6
TP50224	24	11	16	8	11	39	15	12	10	24	14	30	10	3	57	30	47	9	36	27
KRT68227	21	15	24	2	4	65	2	50	39	25	46	20	43	15	18	7	18	13	3	19
HLA75766	43	25	86	87	48	87	21	15	52	34	154	27	139	56	28	34	54	55	126	29
MYC20550	21	8	1	2	22	20	17	6	12	8	18	12	5	9	3	12	10	3	1	4
MYC80430	13	19	1	7	1	13	9	28	15	15	1	20	6	8	2	7	19	1	14	12
SLC67347	28	9	17	12	7	10	15	8	3	9	7	11	11	16	25	45	15	10	34	11
MT52158	76	143	48	34	30	101	121	330	151	110	39	70	43	44	36	57	112	60	125	22
HLA42202	2	7	16	0	11	63	0	19	15	15	16	27	8	43	2	36	4	16	9	0
ZNF14409	6	11	7	6	4	1	1	3	17	4	0	1	4	7	3	0	1	10	4	3
SLC6140	8	9	12	4	2	31	22	39	5	10	27	4	6	9	20	5	6	8	13	10
BRCA68373	19	18	5	4	36	5	9	24	13	8	13	10	24	18	5	22	10	10	26	8
IL291	33	46	50	105	29	125	23	57	54	35	31	12	35	24	31	24	86	97	24	28
GPR80208	4	4	6	2	12	9	3	5	1	1	5	1	9	1	4	2	3	7	1	3
EGFR43665	17	15	12	4	14	23	41	1	17	17	22	18	6	35	34	5	23	5	7	8
MYC34064	290	16	58	103	86	119	93	102	61	69	74	277	330	326	133	212	117	75	84	161
TP72887	6	3	0	5	5	0	1	1	0	6	6	3	0	1	2	2	2	4	2	2
MAPK48254	21	5	3	4	24	12	8	8	12	14	25	7	8	0	1	9	5	14	8	26
TNF52692	1	2	4	1	6	11	0	11	2	1	0	2	8	13	11	6	4	4	10	2
ZNF35668	1	3	2	1	0	5	3	2	1	1	0	2	2	0	0	3	0	3	0	2
SLC5678	67	49	94	49	43	31	42	14	48	27	49	32	29	55	34	60	89	47	34	94
EGFR29529	1	2	3	0	5	4	1	3	2	1	0	7	2	1	2	0	0	4	4	2
KRT41078	3	45	48	19	18	30	27	63	24	27	35	8	30	27	24	10	20	25	42	21
ZNF76805	3	0	1	2	0	6	0	1	0	2	2	3	3	2	1	1	1	0	2	1
BRCA13894	11	14	22	10	8	6	12	1	15	23	5	3	3	12	4	4	13	26	6	19
IL26326	19	9	13	23	15	10	20	1	9	23	25	17	5	21	6	7	28	11	7	18
SLC49141	12	2	3	1	8	18	5	3	19	4	9	1	1	0	2	4	3	3	8	3
CD28351	31	16	45	11	20	1	7	4	27	12	16	23	13	18	15	6	6	18	23	11
KRT44147	21	21	19	16	8	7	10	19	19	7	12	32	17	11	17	11	9	27	12	25
SLC12159	7	37	9	32	14	76	18	17	23	60	24	46	12	38	16	15	15	6	22	15
BRCA23295	4	0	4	11	2	6	11	4	3	10	0	0	8	2	7	2	0	9	7	6
SLC57609	15	11	2	8	1	5	16	14	22	6	10	4	6	10	3	10	7	8	11	21
CD76110	55	100	58	37	53	106	38	26	36	61	98	100	125	67	39	31	78	138	96	55
KRT39500	13	4	2	10	13	2	1	5	7	0	10	2	1	2	6	4	1	2	0	1
MAPK83603	110	82	50	49	113	79	134	78	23	55	113	247	137	87	201	80	49	50	89	78
BRCA66354	5	1	2	5	4	3	0	2	2	0	3	7	1	2	0	2	8	1	4	1
EGFR82065	27	1	4	4	2	7	6	8	10	10	6	8	3	5	5	8	5	2	17	8
EGFR20695	240	109	142	291	332	267	456	132	301	58	129	236	228	249	127	324	259	183	52	318
ZNF31181	2	3	1	0	1	1	1	0	2	3	0	2	5	1	3	2	0	1	0	1
SLC94408	27	35	29	15	8	38	28	46	53	28	27	85	27	14	54	52	30	36	32	40
BRCA50501	12	5	13	3	4	11	16	4	15	6	5	8	6	6	6	9	1	6	2	15
SLC37120	6	7	37	13	10	11	8	24	26	6	12	1	9	11	12	7	5	6	5	11
CD9335	15	3	28	30	23	15	48	25	19	4	13	7	32	21	12	32	26	9	6	34
CXCL59153	63	48	21	19	10	12	16	11	20	7	18	13	26	72	26	32	21	33	23	8
KRT97883	0	0	5	1	2	1	3	0	3	8	6	2	2	1	3	3	3	2	6	3
TP63048	14	23	3	3	1	5	0	4	10	8	6	11	9	1	11	2	2	12	11	2
MT5532	0	1	1	1	0	0	2	0	0	0	0	0	0	4	2	0	3	1	3	4
MYC30344	3	10	17	1	4	27	6	15	5	11	18	4	4	23	9	19	8	9	1	14
MAPK45095	16	20	28	25	19	26	23	37	22	13	17	75	18	34	65	24	1	36	7	54
GPR36741	16	12	3	25	9	11	29	18	4	13	1	14	9	10	8	30	32	12	8	4
TNF40241	117	80	67	91	80	67	53	35	110	54	29	115	41	16	161	27	64	51	33	154
IL58161	19	93	10	20	50	48	91	55	39	44	104	37	40	20	60	54	52	56	36	26
KRT30551	1	2	7	1	7	1	6	4	3	27	31	1	3	6	10	6	5	26	16	5
CD54752	46	68	38	141	51	33	40	21	19	22	27	98	105	3	45	73	27	57	47	25
CD77999	4	2	0	2	12	1	7	8	3	2	5	6	6	6	2	1	0	8	9	4
MAPK13059	62	10	120	18	39	40	46	95	47	24	64	41	70	65	118	49	74	41	25	55
BRCA99103	124	208	40	247	112	111	30	18	29	214	115	84	44	65	76	126	32	77	127	106
GPR1535	13	0	2	18	0	2	8	2	9	4	3	1	2	6	4	3	7	3	16	2
MAPK61777	25	9	23	58	17	53	8	4	12	60	19	22	28	33	17	51	6	6	26	12
KRT9727	3	3	1	2	2	0	5	0	2	2	0	3	3	1	2	1	0	0	3	0
BRCA14821	13	36	33	15	33	11	15	26	34	8	17	7	5	22	20	22	60	99	33	16
TNF17374	6	9	2	3	2	1	1	9	5	6	0	11	4	1	4	0	6	1	10	7
CXCL13466	5	7	15	3	1	33	7	22	13	22	18	52	33	17	43	11	18	25	20	8
HLA6406	4	3	0	0	2	0	1	6	8	4	6	5	20	10	2	19	8	5	3	16
SLC54070	6	4	10	5	7	1	3	12	10	5	6	1	5	0	2	4	13	20	1	4
CXCL58082	5	5	8	9	5	2	6	8	4	7	5	0	5	3	2	8	11	4	12	7
CXCL58873	11	4	32	62	12	8	43	17	17	3	23	29	19	25	21	21	8	8	38	14
SLC73328	1	2	1	2	3	5	3	0	1	2	1	7	1	0	2	7	2	2	2	4
TP11534	102	90	39	41	36	57	20	36	86	57	52	18	24	50	49	72	84	11	39	59
BRCA67826	5	5	10	4	2	0	1	2	0	2	4	3	2	4	1	3	2	2	2	0
ZNF65596	1	7	10	3	7	3	7	5	10	5	9	5	4	3	0	0	10	16	3	6
SLC59458	7	7	0	2	5	5	1	4	6	7	12	4	10	4	5	3	6	1	7	0
IL93912	0	2	1	6	3	0	1	0	2	1	0	0	1	0	3	2	1	0	1	0
KRT2979	4	2	3	5	6	6	5	20	0	1	2	0	6	1	7	3	3	0	5	8
CD13401	0	4	2	1	0	1	0	1	1	1	1	0	0	2	2	0	1	0	0	0
CXCL2163	246	98	74	189	166	64	38	77	128	79	27	75	108	183	284	131	202	160	12	104
SLC50906	14	20	13	20	13	16	1	7	21	4	41	10	18	30	9	16	5	19	17	5
BRCA74969	10	2	39	31	30	23	5	23	13	25	28	64	14	35	47	16	15	24	26	29
MYC92439	7	2	1	2	9	7	2	5	2	4	8	1	13	0	0	2	3	7	2	4
MAPK3884	12	64	8	35	27	22	26	71	12	21	30	38	28	44	17	31	57	31	21	38
GPR9096	10	11	11	5	9	13	4	10	10	2	22	2	3	9	18	3	9	3	2	7
MAPK38747	3	2	2	5	2	2	6	5	1	2	13	1	6	2	1	12	6	9	2	9
GPR50249	18	3	11	20	12	7	5	5	15	7	6	7	17	14	20	8	24	10	32	9
MT53097	14	14	40	35	7	9	48	16	36	17	34	22	15	5	32	6	8	26	17	0
IL97707	1	1	2	5	3	2	2	4	3	1	0	3	9	4	3	2	5	0	3	4
TP5731	31	25	12	12	65	33	16	48	11	20	16	34	47	36	30	41	37	63	24	14
MT58321	17	13	6	10	5	0	6	3	4	5	16	9	7	3	3	4	5	7	11	11
MT48668	127	44	42	56	47	73	32	84	114	10	28	38	37	27	46	12	90	24	5	43
ZNF66130	15	8	31	13	37	18	20	14	7	8	76	27	5	52	31	8	15	11	13	15
KRT92322	15	39	16	7	13	13	7	23	0	16	44	5	28	29	50	37	55	20	13	5
GPR26512	7	3	12	11	9	4	15	7	9	4	7	4	3	6	1	21	14	1	9	13
HLA46685	15	13	7	1	4	1	8	2	1	15	18	0	9	1	12	6	7	13	5	7
TNF4744	1	13	0	2	5	0	5	8	10	1	4	11	7	6	9	2	4	10	0	2
IL77328	7	13	3	2	3	5	1	6	14	5	3	8	4	10	2	1	1	4	7	7
MT25094	0	1	5	1	16	8	8	1	9	14	3	1	8	4	2	3	2	3	6	5
GPR42493	39	7	65	7	22	49	30	28	71	14	33	37	34	39	52	6	8	17	17	29
IL92292	94	27	44	55	14	32	58	29	54	60	16	11	35	61	47	73	23	116	83	22
HLA38473	8	10	16	17	11	36	30	5	1	14	6	9	21	18	21	22	33	8	10	17
TP77964	3	15	2	3	8	7	8	2	10	5	19	12	2	10	1	14	2	20	5	5
ZNF64919	4	6	3	0	0	10	14	13	9	3	2	4	6	7	12	16	10	18	2	3
TNF87752	5	13	7	3	4	4	12	5	5	12	5	5	3	11	16	13	4	12	2	6
IL41353	26	35	14	30	17	59	16	23	23	12	35	32	47	30	12	25	8	4	8	23
BRCA89311	1	7	17	4	5	0	1	4	8	1	1	3	5	3	4	21	10	11	2	6
MT57937	9	11	11	6	4	14	6	25	29	32	10	18	31	5	9	14	6	17	5	0
